0.000000000000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
6.091842462507076e-07	7.655432e-03	7.655975e-03	2.447828e-05	-2.447826e-08	2.447826e-08	-2.447826e-08	-2.447826e-08
1.218368492501415e-06	1.531049e-02	1.531055e-02	9.570527e-05	-9.570526e-08	9.570526e-08	-9.570526e-08	-9.570526e-08
1.827552738752123e-06	2.296518e-02	2.296372e-02	2.136810e-04	-2.136810e-07	2.136810e-07	-2.136810e-07	-2.136810e-07
2.436736985002830e-06	3.061950e-02	3.061548e-02	3.784054e-04	-3.784054e-07	3.784054e-07	-3.784054e-07	-3.784054e-07
3.045921231253538e-06	3.827345e-02	3.826584e-02	5.898786e-04	-5.898786e-07	5.898786e-07	-5.898786e-07	-5.898786e-07
3.655105477504246e-06	4.592703e-02	4.591480e-02	8.481005e-04	-8.481005e-07	8.481005e-07	-8.481005e-07	-8.481005e-07
4.264289723754952e-06	5.358023e-02	5.356235e-02	1.153071e-03	-1.153071e-06	1.153071e-06	-1.153071e-06	-1.153071e-06
5.320670230953040e-06	6.684906e-02	6.681442e-02	1.788406e-03	-1.788406e-06	1.788406e-06	-1.788406e-06	-1.788406e-06
6.648276550595246e-06	8.352041e-02	8.345304e-02	2.779041e-03	-2.779042e-06	2.779042e-06	-2.779042e-06	-2.779042e-06
8.305137387454402e-06	1.043181e-01	1.041873e-01	4.311007e-03	-4.311006e-06	4.311006e-06	-4.311006e-06	-4.311006e-06
1.038839723007596e-05	1.304518e-01	1.301971e-01	6.694098e-03	-6.694098e-06	6.694098e-06	-6.694098e-06	-6.694098e-06
1.299976971014474e-05	1.631783e-01	1.626824e-01	1.038212e-02	-1.038212e-05	1.038212e-05	-1.038212e-05	-1.038212e-05
1.629245661523315e-05	2.043796e-01	2.034113e-01	1.610768e-02	-1.610768e-05	1.610768e-05	-1.610768e-05	-1.610768e-05
2.044476170837426e-05	2.562104e-01	2.543168e-01	2.496507e-02	-2.496507e-05	2.496507e-05	-2.496507e-05	-2.496507e-05
2.571362689396057e-05	3.217230e-01	3.180057e-01	3.868392e-02	-3.868392e-05	3.868392e-05	-3.868392e-05	-3.868392e-05
3.242538819048460e-05	4.046564e-01	3.973301e-01	5.986725e-02	-5.986725e-05	5.986725e-05	-5.986725e-05	-5.986725e-05
4.105476142515987e-05	5.102069e-01	4.956697e-01	9.255183e-02	-9.255184e-05	9.255184e-05	-9.255184e-05	-9.255184e-05
5.227139455594726e-05	6.451163e-01	6.159996e-01	1.427710e-01	-1.427710e-04	1.427710e-04	-1.427710e-04	-1.427710e-04
6.714065742264082e-05	8.189111e-01	7.596545e-01	2.195684e-01	-2.195684e-04	2.195684e-04	-2.195684e-04	-2.195684e-04
8.750497746074843e-05	1.045051e+00	9.208925e-01	3.355922e-01	-3.355922e-04	3.355922e-04	-3.355922e-04	-3.355922e-04
1.174243487524860e-04	1.345322e+00	1.083150e+00	5.093542e-01	-5.093542e-04	5.093542e-04	-5.093542e-04	-5.093542e-04
1.497162271187548e-04	1.615935e+00	1.150538e+00	6.755816e-01	-6.755816e-04	6.755816e-04	-6.755816e-04	-6.755816e-04
1.897927299896241e-04	1.858593e+00	1.095043e+00	8.294062e-01	-8.294062e-04	8.294062e-04	-8.294062e-04	-8.294062e-04
2.151806988137087e-04	1.952328e+00	9.852380e-01	8.855179e-01	-8.855179e-04	8.855179e-04	-8.855179e-04	-8.855179e-04
2.313645532249958e-04	1.986306e+00	8.784642e-01	8.949617e-01	-8.949618e-04	8.949618e-04	-8.949618e-04	-8.949618e-04
2.472557239919738e-04	1.999703e+00	7.504340e-01	8.829645e-01	-8.829645e-04	8.829645e-04	-8.829645e-04	-8.829645e-04
2.639799180204294e-04	1.992289e+00	5.965415e-01	8.484975e-01	-8.484975e-04	8.484975e-04	-8.484975e-04	-8.484975e-04
2.877524685113605e-04	1.943997e+00	3.524469e-01	7.615448e-01	-7.615448e-04	7.615448e-04	-7.615448e-04	-7.615448e-04
3.262512231273294e-04	1.774820e+00	-7.183614e-02	5.529276e-01	-5.529276e-04	5.529276e-04	-5.529276e-04	-5.529276e-04
3.663858238570329e-04	1.488649e+00	-5.218675e-01	2.717605e-01	-2.717605e-04	2.717605e-04	-2.717605e-04	-2.717605e-04
3.940910829219811e-04	1.234819e+00	-8.180139e-01	4.491225e-02	-4.491225e-05	4.491225e-05	-4.491225e-05	-4.491225e-05
4.248236881017424e-04	9.099545e-01	-1.111619e+00	-2.243867e-01	2.243867e-04	-2.243867e-04	2.243867e-04	2.243867e-04
4.552398425979164e-04	5.550873e-01	-1.346158e+00	-4.874868e-01	4.874868e-04	-4.874868e-04	4.874868e-04	4.874868e-04
5.024632427262517e-04	-3.095279e-02	-1.587298e+00	-8.574705e-01	8.574705e-04	-8.574705e-04	8.574705e-04	8.574705e-04
5.528551585934730e-04	-6.520556e-01	-1.680250e+00	-1.169049e+00	1.169049e-03	-1.169049e-03	1.169049e-03	1.169049e-03
6.027602996761919e-04	-1.203455e+00	-1.594892e+00	-1.361104e+00	1.361104e-03	-1.361104e-03	1.361104e-03	1.361104e-03
6.448567147609035e-04	-1.579206e+00	-1.385281e+00	-1.409070e+00	1.409070e-03	-1.409070e-03	1.409070e-03	1.409070e-03
6.887359985822121e-04	-1.853647e+00	-1.058329e+00	-1.350802e+00	1.350802e-03	-1.350802e-03	1.350802e-03	1.350802e-03
